,Static (M),Dynamic Allocation,Static (M),Static (M),Static (M),Static (M),Static (M)
2020-06-03 13:09:40.203909,-0.0244349069671759,,,,,,
2020-06-03 15:34:40.112396,,,,0.0,,,
2020-06-04 13:09:40.203909,-0.0175852328441507,,,,,,
2020-06-04 15:34:40.112396,,,,-0.0056656263734178,,,
2020-06-05 13:09:40.203909,-0.0171316099256779,,,,,,
2020-06-05 15:34:40.112396,,,,-0.0201197861100165,,,
2020-06-08 13:09:40.203909,-0.0268588785545957,,,,,,
2020-06-08 15:34:40.112396,,,,-0.0240762468901908,,,
2020-06-09 13:09:40.203909,-0.0271533864423563,,,,,,
2020-06-09 15:34:40.112396,,,,-0.0201193896281344,,,
2020-06-10 13:09:40.203909,-0.0329616066164176,,,,,,
2020-06-10 15:34:40.112396,,,,-0.0251664842597959,,,
2020-06-11 13:09:40.203909,-0.0369621312664877,,,,,,
2020-06-11 15:34:40.112396,,,,-0.0240850623605067,,,
2020-06-12 13:09:40.203909,-0.0360231167918899,,,,,,
2020-06-12 15:34:40.112396,,,,-0.0064671758199268,,,
2020-06-15 13:09:40.203909,-0.0336482959585696,,,,,,
2020-06-15 15:34:40.112396,,,,-0.0081934533888367,,,
2020-06-16 13:09:40.203909,-0.0449038006027829,,,,,,
2020-06-16 15:34:40.112396,,,,-0.0089510594606074,,,
2020-06-17 13:09:40.203909,-0.0562603920822194,,,,,,
2020-06-17 15:34:40.112396,,,,-0.0433274995297996,,,
2020-06-18 13:09:40.203909,-0.0679066575523911,,,,,,
2020-06-18 15:34:40.112396,,,,-0.0603769923910163,,,
2020-06-19 13:09:40.203909,-0.0632862620896821,,,,,,
2020-06-19 15:34:40.112396,,,,-0.0544823569118513,,,
2020-06-22 13:09:40.203909,-0.068484212813207,,,,,,
2020-06-22 15:34:40.112396,,,,-0.0472228670585134,,,
2020-06-23 13:09:40.203909,-0.0660178107025528,,,,,,
2020-06-23 15:34:40.112396,,,,-0.0455244776231346,,,
2020-06-24 13:09:40.203909,-0.0604223337506723,,,,,,
2020-06-24 15:34:40.112396,,,,-0.0412367387844839,,,
2020-06-25 13:09:40.203909,-0.0624988643431354,,,,,,
2020-06-25 15:34:40.112396,,,,-0.0418950791694391,,,
2020-06-26 13:09:40.203909,-0.05803711369842,,,,,,
2020-06-26 15:34:40.112396,,,,-0.0426853306727507,,,
2020-06-29 13:09:40.203909,-0.0563114953782555,,,,,,
2020-06-29 15:34:40.112396,,,,-0.0422910245929241,,,
2020-06-30 13:09:40.203909,-0.0585553592176116,,,,,,
2020-06-30 15:34:40.112396,,,,-0.0378865370348844,,,
2020-07-01 13:09:40.203909,-0.0597486489608822,,,,,,
2020-07-01 15:34:40.112396,,,,-0.0411747798461903,,,
2020-07-02 13:09:40.203909,-0.054168301841981,,,,,,
2020-07-02 15:34:40.112396,,,,-0.0438392228171414,,,
2020-07-03 13:09:40.203909,-0.0558478806502319,,,,,,
2020-07-03 15:34:40.112396,,,,-0.0394974314110035,,,
2020-07-06 13:09:40.203909,-0.0513595248637598,,,,,,
2020-07-06 15:34:40.112396,,,,-0.0495661155209276,,,
2020-07-07 13:09:40.203909,-0.0605539245281875,,,,,,
2020-07-07 15:34:40.112396,,,,-0.0597764383348394,,,
2020-07-08 13:09:40.203909,-0.0627287380407529,,,,,,
2020-07-08 15:34:40.112396,,,,-0.0633578442051912,,,
2020-07-09 13:09:40.203909,-0.0634847266589672,,,,,,
2020-07-09 15:34:40.112396,,,,-0.0563802430249292,,,
2020-07-10 13:09:40.203909,-0.0648382603869331,,,,,,
2020-07-10 15:34:40.112396,,,,-0.0522611455111188,,,
2020-07-13 13:09:40.203909,-0.0660861003665124,,,,,,
2020-07-13 15:34:40.112396,,,,-0.0550961028200219,,,
2020-07-14 13:09:40.203909,-0.0580225370596497,,,,,,
2020-07-14 15:34:40.112396,,,,-0.0498417169745516,,,
2020-07-15 13:09:40.203909,-0.0631537331825216,,,,,,
2020-07-15 15:34:40.112396,,,,-0.039134673851002,,,
2020-07-16 13:09:40.203909,-0.059269359830063,,,,,,
2020-07-16 15:34:40.112396,,,,-0.0379396780755615,,,
2020-07-17 13:09:40.203909,-0.0569132789717732,,,,,,
2020-07-17 15:34:40.112396,,,,-0.0243159807630839,,,
2020-07-20 13:09:40.203909,-0.0632232302227949,,,,,,
2020-07-20 15:34:40.112396,,,,-0.0161650919933158,,,
2020-07-21 13:09:40.203909,-0.0690633477741888,,,,,,
2020-07-21 15:34:40.112396,,,,-0.0215436342010716,,,
2020-07-22 13:09:40.203909,-0.069121171480973,,,,,,
2020-07-22 15:34:40.112396,,,,-0.0170183355642408,,,
2020-07-23 13:09:40.203909,-0.067295753174952,,,,,,
2020-07-23 15:34:40.112396,,,,-0.0153435663811373,,,
2020-07-24 13:09:40.203909,-0.0621384758305918,,,,,,
2020-07-24 15:34:40.112396,,,,-0.0051339478186499,,,
2020-07-27 13:09:40.203909,-0.0618363083250531,,,,,,
2020-07-27 15:34:40.112396,,,,-0.0084539364465148,,,
2020-07-28 13:09:40.203909,-0.0497830480656916,,,,,,
2020-07-28 15:34:40.112396,,,,-0.0019815030293774,,,
2020-07-29 13:09:40.203909,-0.0455216968217552,,,,,,
2020-07-29 15:34:40.112396,,,,-0.0142966004220731,,,
2020-07-30 13:09:40.203909,-0.0558312667446269,,,,,,
2020-07-30 15:34:40.112396,,,,-0.0136862100670964,,,
2020-07-31 13:09:40.203909,-0.068206954929866,,,,,,
2020-07-31 15:34:40.112396,,,,-0.0053826508693674,,,
2020-08-03 13:09:40.203909,-0.0603168693145124,,,,,,
2020-08-03 15:34:40.112396,,,,0.0,,,
2020-08-04 13:09:40.203909,-0.06180630503656,,,,,,
2020-08-04 15:34:40.112396,,,,0.0,,,
2020-08-05 13:09:40.203909,-0.0769535778799073,,,,,,
2020-08-05 15:34:40.112396,,,,-0.0046501526760851,,,
2020-08-06 13:09:40.203909,-0.0716578140515878,,,,,,
2020-08-06 15:34:40.112396,,,,-0.0030369328378383,,,
2020-08-07 13:09:40.203909,-0.0779141024348799,,,,,,
2020-08-07 15:34:40.112396,,,,-0.0030474131969657,,,
2020-08-10 13:09:40.203909,-0.0786455928360519,,,,,,
2020-08-10 15:34:40.112396,,,,-0.0233545308472167,,,
2020-08-11 13:09:40.203909,-0.0828000815968194,,,,,,
2020-08-11 15:34:40.112396,,,,-0.018191838004817,,,
2020-08-12 13:09:40.203909,-0.0933888296222745,,,,,,
2020-08-12 15:34:40.112396,,,,-0.0164349566636214,,,
2020-08-13 13:09:40.203909,-0.098536183423716,,,,,,
2020-08-13 15:34:40.112396,,,,-0.0032729285767373,,,
2020-08-14 13:09:40.203909,-0.0931317655097663,,,,,,
2020-08-14 15:34:40.112396,,,,-0.0005285281843191,,,
2020-08-17 13:09:40.203909,-0.0931449999254973,,,,,,
2020-08-17 15:34:40.112396,,,,0.0,,,
2020-08-18 13:09:40.203909,-0.0884611885369045,,,,,,
2020-08-18 15:34:40.112396,,,,0.0,,,
2020-08-19 13:09:40.203909,-0.0847969142988713,,,,,,
2020-08-19 15:34:40.112396,,,,-0.0030378283932004,,,
2020-08-20 13:09:40.203909,-0.0892639785723542,,,,,,
2020-08-20 15:34:40.112396,,,,0.0,,,
2020-08-21 13:09:40.203909,-0.0848665048207022,,,,,,
2020-08-21 15:34:40.112396,,,,0.0,,,
2020-08-24 13:09:40.203909,-0.0810437511573149,,,,,,
2020-08-24 15:34:40.112396,,,,0.0,,,
2020-08-25 13:09:40.203909,-0.0845286708232122,,,,,,
2020-08-25 15:34:40.112396,,,,0.0,,,
2020-08-26 13:09:40.203909,-0.0846519795024842,,,,,,
2020-08-26 15:34:40.112396,,,,0.0,,,
2020-08-27 13:09:40.203909,-0.0833748929332798,,,,,,
2020-08-27 15:34:40.112396,,,,-0.0093205851456406,,,
2020-08-28 13:09:40.203909,-0.0808976928152249,,,,,,
2020-08-28 15:34:40.112396,,,,-0.0161199738644115,,,
2020-08-31 13:09:40.203909,-0.0752028294291281,,,,,,
2020-08-31 15:34:40.112396,,,,-0.0169943058688767,,,
2020-09-01 13:09:40.203909,-0.0679502015424139,,,,,,
2020-09-01 15:34:40.112396,,,,-0.0185056884977712,,,
2020-09-02 13:09:40.203909,-0.0652748327112384,,,,,,
2020-09-02 15:34:40.112396,,,,-0.018212249085256,,,
2020-09-03 13:09:40.203909,-0.0572071476101643,,,,,,
2020-09-03 15:34:40.112396,,,,-0.0169923723167549,,,
2020-09-04 13:09:40.203909,-0.0419819830893347,,,,,,
2020-09-04 15:34:40.112396,,,,-0.0020918710600589,,,
2020-09-07 13:09:40.203909,-0.04360718715611,,,,,,
2020-09-07 15:34:40.112396,,,,0.0,,,
2020-09-08 13:09:40.203909,-0.0403301062617142,,,,,,
2020-09-08 15:34:40.112396,,,,0.0,,,
2020-09-09 13:09:40.203909,-0.0383094032709984,,,,,,
2020-09-09 15:34:40.112396,,,,0.0,,,
2020-09-10 13:09:40.203909,-0.031495640648426,,,,,,
2020-09-10 15:34:40.112396,,,,0.0,,,
2020-09-11 13:09:40.203909,-0.0220963216352074,,,,,,
2020-09-11 15:34:40.112396,,,,0.0,,,
2020-09-14 13:09:40.203909,-0.0159749383833639,,,,,,
2020-09-14 15:34:40.112396,,,,0.0,,,
2020-09-15 13:09:40.203909,-0.0233125941879812,,,,,,
2020-09-15 15:34:40.112396,,,,-0.0091688819676571,,,
2020-09-16 13:09:40.203909,-0.0221107885955047,,,,,,
2020-09-16 15:34:40.112396,,,,-0.0020738027108241,,,
2020-09-17 13:09:40.203909,-0.0144383414406349,,,,,,
2020-09-17 15:34:40.112396,,,,-0.0026867475616015,,,
2020-09-18 13:09:40.203909,-0.0070607898343834,,,,,,
2020-09-18 15:34:40.112396,,,,-0.0138422679392562,,,
2020-09-21 13:09:40.203909,-0.0161053279702891,,,,,,
2020-09-21 15:34:40.112396,,,,0.0,,,
2020-09-22 13:09:40.203909,-0.0247046555599776,,,,,,
2020-09-22 15:34:40.112396,,,,-0.0074027773565295,,,
2020-09-23 13:09:40.203909,-0.0322226188197024,,,,,,
2020-09-23 15:34:40.112396,,,,-0.0117344479190762,,,
2020-09-24 13:09:40.203909,-0.0386795697002831,,,,,,
2020-09-24 15:34:40.112396,,,,-0.003545763567794,,,
2020-09-25 13:09:40.203909,-0.0516426325644057,,,,,,
2020-09-25 15:34:40.112396,,,,-0.0181243729098962,,,
2020-09-28 13:09:40.203909,-0.0566925442416724,,,,,,
2020-09-28 15:34:40.112396,,,,-0.0105346922045568,,,
2020-09-29 13:09:40.203909,-0.0525996944234753,,,,,,
2020-09-29 15:34:40.112396,,,,-0.0023388355275116,,,
2020-09-30 13:09:40.203909,-0.0473115865136737,,,,,,
2020-09-30 15:34:40.112396,,,,0.0,,,
2020-10-01 13:09:40.203909,-0.0377977550294079,,,,,,
2020-10-01 15:34:40.112396,,,,0.0,,,
2020-10-02 13:09:40.203909,-0.0446912472549994,,,,,,
2020-10-02 15:34:40.112396,,,,0.0,,,
2020-10-05 13:09:40.203909,-0.0458856719605025,,,,,,
2020-10-05 15:34:40.112396,,,,0.0,,,
2020-10-06 13:09:40.203909,-0.0514792533650806,,,,,,
2020-10-06 15:34:40.112396,,,,-0.0047199321854585,,,
2020-10-07 13:09:40.203909,-0.0477912878926831,,,,,,
2020-10-07 15:34:40.112396,,,,-0.0141586473768313,,,
2020-10-08 13:09:40.203909,-0.0491168034054708,,,,,,
2020-10-08 15:34:40.112396,,,,-0.0154947101461643,,,
2020-10-09 13:09:40.203909,-0.0501304398759161,,,,,,
2020-10-09 15:34:40.112396,,,,-0.0257561954916947,,,
2020-10-12 13:09:40.203909,-0.0602300469340525,,,,,,
2020-10-12 15:34:40.112396,,,,-0.024127479081915,,,
2020-10-13 13:09:40.203909,-0.0654037258925952,,,,,,
2020-10-13 15:34:40.112396,,,,-0.0212348896622105,,,
2020-10-14 13:09:40.203909,-0.0666034800962581,,,,,,
2020-10-14 15:34:40.112396,,,,-0.0150046703498818,,,
2020-10-15 13:09:40.203909,-0.0690492004320896,,,,,,
2020-10-15 15:34:40.112396,,,,-0.0059542273918393,,,
2020-10-16 13:09:40.203909,-0.05569311607017,,,,,,
2020-10-16 15:34:40.112396,,,,-0.0164651344410848,,,
2020-10-19 13:09:40.203909,-0.0487652473004871,,,,,,
2020-10-19 15:34:40.112396,,,,-0.0015344276904855,,,
2020-10-20 13:09:40.203909,-0.0461411047894736,,,,,,
2020-10-20 15:34:40.112396,,,,0.0,,,
2020-10-21 13:09:40.203909,-0.047176643422423,,,,,,
2020-10-21 15:34:40.112396,,,,-9.50367744773084e-05,,,
2020-10-22 13:09:40.203909,-0.0446520694369736,,,,,,
2020-10-22 15:34:40.112396,,,,0.0,,,
2020-10-23 13:09:40.203909,-0.0484625618082168,,,,,,
2020-10-23 15:34:40.112396,,,,-0.0029873789959254,,,
2020-10-26 13:09:40.203909,-0.0521039955840157,,,,,,
2020-10-26 15:34:40.112396,,,,0.0,,,
2020-10-27 13:09:40.203909,-0.046972035014123,,,,,,
2020-10-27 15:34:40.112396,,,,-0.0017039185712927,,,
2020-10-28 13:09:40.203909,-0.0436794154062875,,,,,,
2020-10-28 15:34:40.112396,,,,0.0,,,
2020-10-29 13:09:40.203909,-0.0501192454643755,,,,,,
2020-10-29 15:34:40.112396,,,,-0.0032677648630398,,,
2020-10-30 13:09:40.203909,-0.0485407554999364,,,,,,
2020-10-30 15:34:40.112396,,,,0.0,,,
2020-11-02 13:09:40.203909,-0.0473673107940753,,,,,,
2020-11-02 15:34:40.112396,,,,0.0,,,
2020-11-03 13:09:40.203909,-0.0458807425056037,,,,,,
2020-11-03 15:34:40.112396,,,,-0.0053311353388574,,,
2020-11-04 13:09:40.203909,-0.0395730073520804,,,,,,
2020-11-04 15:34:40.112396,,,,-0.0030689788048388,,,
2020-11-05 13:09:40.203909,-0.0452239946938299,,,,,,
2020-11-05 15:34:40.112396,,,,0.0,,,
2020-11-06 13:09:40.203909,-0.0494382495368944,,,,,,
2020-11-06 15:34:40.112396,,,,-0.0122953122241845,,,
2020-11-09 13:09:40.203909,-0.0512503623841676,,,,,,
2020-11-09 15:34:40.112396,,,,-0.0280231705348655,,,
2020-11-10 13:09:40.203909,-0.0536488103917274,,,,,,
2020-11-10 15:34:40.112396,,,,-0.0272839908725536,,,
2020-11-11 13:09:40.203909,-0.0601560978286621,,,,,,
2020-11-11 15:34:40.112396,,,,-0.0268966094698605,,,
2020-11-12 13:09:40.203909,-0.0506941399722354,,,,,,
2020-11-12 15:34:40.112396,,,,-0.0369232752804878,,,
2020-11-13 13:09:40.203909,-0.0454406135713975,,,,,,
2020-11-13 15:34:40.112396,,,,-0.0371621944869614,,,
2020-11-16 13:09:40.203909,-0.0386941608390845,,,,,,
2020-11-16 15:34:40.112396,,,,-0.0419668686280362,,,
2020-11-17 13:09:40.203909,-0.0306477030303626,,,,,,
2020-11-17 15:34:40.112396,,,,-0.0386078251241163,,,
2020-11-18 13:09:40.203909,-0.0391066947483126,,,,,,
2020-11-18 15:34:40.112396,,,,-0.034038471278596,,,
2020-11-19 13:09:40.203909,-0.0468808866474231,,,,,,
2020-11-19 15:34:40.112396,,,,-0.0283485478296593,,,
2020-11-20 13:09:40.203909,-0.037625285610339,,,,,,
2020-11-20 15:34:40.112396,,,,-0.0263926435012847,,,
2020-11-23 13:09:40.203909,-0.0436765822733999,,,,,,
2020-11-23 15:34:40.112396,,,,-0.0139812036396478,,,
2020-11-24 13:09:40.203909,-0.041827971422359,,,,,,
2020-11-24 15:34:40.112396,,,,-0.0114971513077212,,,
2020-11-25 13:09:40.203909,-0.0355539664450149,,,,,,
2020-11-25 15:34:40.112396,,,,-0.0037030667066565,,,
2020-11-26 13:09:40.203909,-0.0417445294838374,,,,,,
2020-11-26 15:34:40.112396,,,,-0.0123424410547403,,,
2020-11-27 13:09:40.203909,-0.0521781536086447,,,,,,
2020-11-27 15:34:40.112396,,,,-0.0180941956948869,,,
2020-11-30 13:09:40.203909,-0.056869286432408,,,,,,
2020-11-30 15:34:40.112396,,,,-0.0022042933243382,,,
2020-12-01 13:09:40.203909,-0.0489401020586093,,,,,,
2020-12-01 15:34:40.112396,,,,0.0,,,
2020-12-02 13:09:40.203909,-0.0577564464346692,,,,,,
2020-12-02 15:34:40.112396,,,,-0.0034268404002908,,,
2020-12-03 13:09:40.203909,-0.0572199536407189,,,,,,
2020-12-03 15:34:40.112396,,,,-0.0176479645821712,,,
2020-12-04 13:09:40.203909,-0.0544760121102541,,,,,,
2020-12-04 15:34:40.112396,,,,-0.0205022078290907,,,
2020-12-07 13:09:40.203909,-0.045704799134743,,,,,,
2020-12-07 15:34:40.112396,,,,-0.0240624251405353,,,
2020-12-08 13:09:40.203909,-0.0444124177127009,,,,,,
2020-12-08 15:34:40.112396,,,,-0.0146844271552937,,,
2020-12-09 13:09:40.203909,-0.0531342107480627,,,,,,
2020-12-09 15:34:40.112396,,,,-0.0162529939677499,,,
2020-12-10 13:09:40.203909,-0.0426112057676659,,,,,,
2020-12-10 15:34:40.112396,,,,-0.0013858307067728,,,
2020-12-11 13:09:40.203909,-0.0316891489343412,,,,,,
2020-12-11 15:34:40.112396,,,,-0.0006672618607472,,,
2020-12-14 13:09:40.203909,-0.0280639610633373,,,,,,
2020-12-14 15:34:40.112396,,,,0.0,,,
2020-12-15 13:09:40.203909,-0.0186282136390134,,,,,,
2020-12-15 15:34:40.112396,,,,0.0,,,
2020-12-16 13:09:40.203909,-0.0293295489813638,,,,,,
2020-12-16 15:34:40.112396,,,,0.0,,,
2020-12-17 13:09:40.203909,-0.0344111597794831,,,,,,
2020-12-17 15:34:40.112396,,,,0.0,,,
2020-12-18 13:09:40.203909,-0.0318567526972179,,,,,,
2020-12-18 15:34:40.112396,,,,0.0,,,
2020-12-21 13:09:40.203909,-0.0316229212534645,,,,,,
2020-12-21 15:34:40.112396,,,,-0.0132975564562717,,,
2020-12-22 13:09:40.203909,-0.0374535664741807,,,,,,
2020-12-22 15:34:40.112396,,,,-0.01645873632807,,,
2020-12-23 13:09:40.203909,-0.0290075568754528,,,,,,
2020-12-23 15:34:40.112396,,,,0.0,,,
2020-12-24 13:09:40.203909,-0.0266531342724866,,,,,,
2020-12-24 15:34:40.112396,,,,0.0,,,
2020-12-25 13:09:40.203909,-0.0446786147065186,,,,,,
2020-12-25 15:34:40.112396,,,,-0.0071468706371917,,,
2020-12-28 13:09:40.203909,-0.0494771746194768,,,,,,
2020-12-28 15:34:40.112396,,,,0.0,,,
2020-12-29 13:09:40.203909,-0.0520902874776099,,,,,,
2020-12-29 15:34:40.112396,,,,0.0,,,
2020-12-30 13:09:40.203909,-0.0622776124413516,,,,,,
2020-12-30 15:34:40.112396,,,,0.0,,,
2020-12-31 13:09:40.203909,-0.061068409892404,,,,,,
2020-12-31 15:34:40.112396,,,,-0.0134682734594787,,,
2021-01-01 13:09:40.203909,-0.0497207710593735,,,,,,
2021-01-01 15:34:40.112396,,,,-0.0073070503533557,,,
2021-01-04 13:09:40.203909,-0.047107178043698,,,,,,
2021-01-04 15:34:40.112396,,,,-0.0032859002677952,,,
2021-01-05 13:09:40.203909,-0.0564122461792948,,,,,,
2021-01-05 15:34:40.112396,,,,0.0,,,
2021-01-06 13:09:40.203909,-0.0585478694639899,,,,,,
2021-01-06 15:34:40.112396,,,,-0.010789751886595,,,
2021-01-07 13:09:40.203909,-0.0506132831484649,,,,,,
2021-01-07 15:34:40.112396,,,,-0.0222828802693245,,,
2021-01-08 13:09:40.203909,-0.0465294963429046,,,,,,
2021-01-08 15:34:40.112396,,,,-0.0248900196110725,,,
2021-01-11 13:09:40.203909,-0.0360383283268611,,,,,,
2021-01-11 15:34:40.112396,,,,-0.0274268894323611,,,
2021-01-12 13:09:40.203909,-0.0270647484924637,,,,,,
2021-01-12 15:34:40.112396,,,,-0.0167301743949529,,,
2021-01-13 13:09:40.203909,-0.0334744215240976,,,,,,
2021-01-13 15:34:40.112396,,,,-0.0228266187823826,,,
2021-01-14 13:09:40.203909,-0.0351556143993699,,,,,,
2021-01-14 15:34:40.112396,,,,-0.0273448289160648,,,
2021-01-15 13:09:40.203909,-0.0388535851289615,,,,,,
